Combination, leakage_current_cir, leakage_current_mos, error
000000000,7.89093e-06, 7.271139200000009e-06, 0.7854470892530928
000000001,8.21631e-06, 6.9747999000000065e-06, 1.511031229347473
000000010,7.76655e-06, 6.916258800000008e-06, 1.094811982154227
000000011,9.07207e-06, 6.619237800000005e-06, 2.7037183355066654
000000100,8.0329e-06, 6.886079800000007e-06, 1.4276540228310988
000000101,7.70157e-06, 6.797359700000006e-06, 1.1740597047095518
000000110,7.90852e-06, 6.5311994000000065e-06, 1.74156555208812
000000111,8.55733e-06, 6.441797600000005e-06, 2.472187469689723
000001000,7.70448e-06, 6.650098500000007e-06, 1.3685303875147885
000001001,8.02986e-06, 6.353759200000006e-06, 2.0873350220302638
000001010,9.62504e-06, 6.393026300000006e-06, 3.357922356686304
000001011,1.09306e-05, 6.0960053000000024e-06, 4.422991144127494
000001100,8.84389e-06, 6.2808220000000045e-06, 2.898122884839132
000001101,8.51255e-06, 6.1921019000000035e-06, 2.725914209020795
000001110,1.1219e-05, 5.898093700000001e-06, 4.742763437026473
000001111,1.19216e-05, 5.8570749e-06, 5.087006022681519
000010000,8.11087e-06, 6.737754000000008e-06, 1.6929330639006572
000010001,8.45367e-06, 6.453329100000006e-06, 2.366239633200721
000010010,9.04443e-06, 6.461678800000006e-06, 2.855626280484225
000010011,1.03674e-05, 6.176572200000003e-06, 4.0423132125701695
000010100,8.27027e-06, 6.364609000000006e-06, 2.304230696216682
000010101,7.93895e-06, 6.275888900000005e-06, 2.0948124122207528
000010110,9.20383e-06, 6.088533800000004e-06, 3.3847824221003604
000010111,9.85265e-06, 5.9991320000000025e-06, 3.911148777232518
000011000,7.92443e-06, 6.116713300000006e-06, 2.281194609580745
000011001,8.26723e-06, 5.832288400000005e-06, 2.945293163490062
000011010,1.09029e-05, 5.938446300000005e-06, 4.553333241614612
000011011,1.22259e-05, 5.6533397000000036e-06, 5.375931669652129
000011100,9.08126e-06, 5.759351200000004e-06, 3.6579822623732787
000011101,8.74994e-06, 5.670631100000003e-06, 3.5192343033209337
000011110,1.25143e-05, 5.455428100000002e-06, 5.640644622551799
000011111,1.3217e-05, 5.414409300000001e-06, 5.903450631762124
000100000,7.65651e-06, 6.561378400000006e-06, 1.4303273945962238
000100001,7.98189e-06, 6.265039100000005e-06, 2.1509327991240106
000100010,7.53213e-06, 6.206498000000005e-06, 1.7599696234663962
000100011,8.83765e-06, 5.909477000000004e-06, 3.3132936923277074
000100100,7.79848e-06, 6.176319000000006e-06, 2.0800989423579908
