Width, V_alim, V(drain), V(gate), V(source), V(body), I(Vd), I(Vg), I(Vs), I(Vb)
4.5E-08, 0.05, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.1, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.15, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.2, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.25, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.3, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.35, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.4, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.45, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.5, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.55, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.6, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.65, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.7, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.75, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.8, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.85, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.9, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 0.95, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 1, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 1.05, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
4.5E-08, 1.1, 0, 0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
9E-08, 0.05, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.1, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.15, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.2, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.25, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.3, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.35, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.4, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.45, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.5, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.55, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.6, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.65, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.7, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.75, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.8, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.85, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
9E-08, 0.9, 0, 0, 0, 0, -1.48632E-20, 2.00953E-19, -1.48632E-20, -1.71227E-19
